date,open,high,low,close,volume,ticker
2020-01-02,9902.445536336389,10305.176410948021,9878.755371334286,10186.7255859375,9069367,CTG
2020-01-03,10305.176338622987,10352.556668294665,10068.27565547666,10091.9658203125,7565383,CTG
2020-01-06,10044.58575363169,10281.486442980635,9997.205422719484,10115.65625,6620064,CTG
2020-01-07,10234.105997742085,10352.556823699373,10163.035502167713,10281.486328125,8879516,CTG
2020-01-08,10210.41556927628,10494.696579031543,10091.965711585284,10257.7958984375,136795825,CTG
2020-01-09,10352.556861160483,10707.907409894044,10352.556861160483,10636.8369140625,19592888,CTG
2020-01-10,10660.52701719112,11371.22907572708,10660.52701719112,11158.0185546875,31801609,CTG
2020-01-13,11039.567842114066,11371.229192247529,10992.1884765625,10992.1884765625,11155134,CTG
2020-01-14,11015.878267331045,11276.468147245156,10992.188102754842,11134.328125,44334358,CTG
2020-01-15,11134.328652975883,11229.08931577412,11015.878789690183,11181.708984375,9147052,CTG
2020-01-16,11229.089309775592,11821.340556311903,11205.399144088688,11797.650390625,16840082,CTG
2020-01-17,11939.78969983255,12034.550356868223,11655.509659149611,11821.33984375,16110108,CTG
2020-01-20,11797.650469431894,11987.170830981004,11726.579971896439,11892.4111328125,9924256,CTG
2020-01-21,11939.789593778018,12224.070597147884,11892.410230893065,11987.169921875,13003133,CTG
2020-01-22,11987.170520695461,12200.381042570809,11868.720659747858,12129.310546875,9902958,CTG
2020-01-30,11797.650428492787,12010.860955147184,11371.229375183992,11537.0595703125,24098565,CTG
2020-01-31,11655.509680647956,11963.479886157858,11560.7490234375,11560.7490234375,25420397,CTG
2020-02-03,11134.328044837022,11939.789773780642,11015.878188020863,11916.099609375,29245395,CTG
2020-02-04,12034.550867406186,12745.2529296875,12010.860702142267,12745.2529296875,31031728,CTG
2020-02-05,12982.153722545198,13171.674080983597,12579.421875,12579.421875,24620205,CTG
2020-02-06,12650.491873844716,13313.813584897744,12484.66168738447,13147.9833984375,22042545,CTG
2020-02-07,13029.532982430363,13100.603478222118,12626.802103367907,12745.2529296875,18691814,CTG
2020-02-10,12437.281144515679,12934.772660555675,12413.590980398341,12603.111328125,13116218,CTG
2020-02-11,12745.25253194317,13147.9833984375,12721.562367418555,13147.9833984375,14711552,CTG
2020-02-12,13479.643796718443,13479.643796718443,12887.392578125,12887.392578125,21790405,CTG
