date,open,high,low,close,volume,ticker
2023-07-17,28850.0,28900.0,28000.0,28000.0,41755400,STB
2023-07-19,28450.0,28600.0,28200.0,28250.0,11967700,STB
2023-07-20,28250.0,28300.0,27600.0,27850.0,27303420,STB
2023-07-21,27950.0,28750.0,27800.0,28750.0,30065860,STB
2023-07-24,28750.0,28900.0,28450.0,28700.0,17377080,STB
2023-07-26,28500.0,28500.0,28200.0,28300.0,14699850,STB
2023-07-28,28100.0,28750.0,28100.0,28650.0,20958860,STB
2023-08-03,29150.0,29200.0,28600.0,28600.0,21402500,STB
2023-08-04,28600.0,28950.0,28500.0,28950.0,18096270,STB
2023-08-07,29050.0,30250.0,29050.0,30050.0,49704690,STB
2023-08-08,30350.0,30400.0,29750.0,29800.0,15598600,STB
2023-08-09,29850.0,31200.0,29650.0,31200.0,37886020,STB
2023-08-10,31150.0,31300.0,30550.0,30550.0,13398690,STB
2023-08-11,30750.0,32100.0,30550.0,31850.0,35658910,STB
2023-08-14,31900.0,32000.0,31500.0,31900.0,16893150,STB
2023-08-15,31900.0,32000.0,31450.0,31500.0,19408820,STB
2023-08-16,31500.0,32900.0,31200.0,32900.0,45033630,STB
2023-08-17,32600.0,32800.0,32250.0,32350.0,14884200,STB
2023-08-18,32100.0,32450.0,30300.0,31300.0,45170610,STB
2023-08-21,31600.0,32700.0,31300.0,31800.0,36013980,STB
2023-08-22,32000.0,32150.0,30500.0,32150.0,32940990,STB
2023-08-23,32100.0,32200.0,30750.0,30900.0,39433930,STB
2023-08-24,31100.0,31700.0,30900.0,31550.0,14088430,STB
2023-08-25,31300.0,31500.0,30950.0,31100.0,18936510,STB
2023-08-28,31150.0,31900.0,30950.0,31650.0,18698300,STB
2023-08-29,31800.0,31900.0,31350.0,31750.0,17862300,STB
2023-08-30,31800.0,32500.0,31800.0,32500.0,27367000,STB
2023-08-31,32500.0,32650.0,32350.0,32650.0,18726700,STB
2023-09-05,32700.0,33150.0,32400.0,32700.0,23384900,STB
2023-09-06,32600.0,33050.0,32150.0,33050.0,24004500,STB
2023-09-07,33000.0,33250.0,32650.0,33000.0,21545300,STB
2023-09-08,32800.0,32950.0,32500.0,32500.0,19307110,STB
2023-09-11,32700.0,32700.0,31550.0,31600.0,32699500,STB
2023-09-12,31800.0,32350.0,31350.0,32350.0,14737200,STB
2023-09-13,32500.0,32550.0,31850.0,31950.0,17037500,STB
2023-09-14,32000.0,32450.0,31800.0,31800.0,14940900,STB
2023-09-15,32300.0,33150.0,32100.0,32500.0,35096000,STB
2023-09-18,32300.0,33050.0,32300.0,32600.0,15196000,STB
2023-09-19,32700.0,33600.0,32650.0,33300.0,33669810,STB
2023-09-20,33300.0,33550.0,33200.0,33250.0,10589700,STB
2023-09-21,33200.0,33700.0,32350.0,32350.0,31049800,STB
2023-09-22,32000.0,33000.0,31350.0,32900.0,36016000,STB
2023-09-25,32800.0,33150.0,31400.0,31650.0,32245800,STB
2023-09-26,31950.0,32200.0,31350.0,31350.0,17076300,STB
2023-09-27,31500.0,31800.0,30550.0,31800.0,26094500,STB
2023-09-28,31700.0,31700.0,30450.0,30750.0,29418900,STB
2023-09-29,31000.0,31250.0,30650.0,30650.0,12280500,STB
2023-10-02,30750.0,31100.0,30600.0,30850.0,12415000,STB
2023-10-03,30650.0,30650.0,29050.0,29200.0,33420930,STB
2023-10-04,28900.0,30600.0,28850.0,30200.0,21204450,STB
2023-10-05,30100.0,30350.0,29850.0,29900.0,10308820,STB
2023-10-06,29850.0,30950.0,29650.0,30950.0,13136100,STB
2023-10-09,30950.0,31300.0,30600.0,31200.0,9255711,STB
2023-10-10,31350.0,31650.0,31250.0,31250.0,14138500,STB
2023-10-11,31250.0,31800.0,31150.0,31750.0,8362806,STB
2023-10-12,31950.0,31950.0,31300.0,31600.0,8190505,STB
2023-10-13,31200.0,31600.0,31000.0,31500.0,11308800,STB
2023-10-16,31400.0,31450.0,30200.0,30200.0,25870910,STB
2023-10-17,30450.0,30700.0,30000.0,30000.0,15770400,STB
2023-10-18,30100.0,30300.0,29350.0,29700.0,22147610,STB
2023-10-19,29500.0,29900.0,28950.0,29000.0,22421700,STB
2023-10-20,29000.0,30300.0,28850.0,30100.0,20503900,STB
2023-10-23,29800.0,30100.0,29400.0,29700.0,15702000,STB
2023-10-24,30000.0,30200.0,29750.0,30000.0,11951200,STB
2023-10-25,30000.0,30200.0,29550.0,29550.0,9074600,STB
2023-10-26,29000.0,29200.0,27700.0,28100.0,41857400,STB
2023-10-27,28550.0,29250.0,28150.0,28700.0,17878600,STB
2023-10-30,28750.0,28800.0,27000.0,27000.0,21871700,STB
2023-10-31,27100.0,27550.0,26550.0,27000.0,27998300,STB
2023-11-01,27500.0,27700.0,27100.0,27650.0,8556100,STB
