date,strat_return,bench_return,strat_cum,bench_cum
2020-04-17,0.0,0.02190046153846154,0.0,0.02190046153846148
2020-04-20,0.0,0.004568269230769232,0.0,0.026568777973816404
2020-04-21,0.0,-0.046613538461538456,0.0,-0.021283225241680692
2020-04-22,0.0,0.014305615384615385,0.0,-0.007282079491517046
2020-04-23,0.0,0.008075076923076923,0.0,0.0007341940795058122
2020-04-24,0.0,0.004791384615384615,0.0,0.0055290965011076665
2020-04-27,-0.009269416666666667,-0.008115576923076923,-0.009269416666666697,-0.0026313522299391545
2020-04-28,0.0014113124999999998,-0.004100923076923077,-0.00787118621027616,-0.006721484333778949
2020-04-29,0.007418285714285715,0.005187769230769231,-0.0005112912042086748,-0.0015685846126216596
2020-05-04,-0.005009416666666666,-0.006831,-0.0055181466001954504,-0.008388869611132832
2020-05-05,-0.0006848400000000001,-0.0014861923076923077,-0.006199207552677777,-0.00986259444533888
2020-05-06,0.01896173076923077,0.01896173076923077,0.012644975511956424,0.008912124463333226
2020-05-07,0.014840636363636363,0.016751807692307694,0.02767327135899289,0.02581322635078065
2020-05-08,0.018581473684210526,0.01773242307692308,0.046768955206716534,0.044003380478336185
2020-05-11,0.024268166666666667,0.02347319230769231,0.07217211867316564,0.06850947259818496
2020-05-12,0.015730692307692307,0.016662192307692305,0.08903812837289982,0.08631318291320689
2020-05-13,0.021518750000000003,0.012435576923076924,0.11247286759782416,0.09982211406187647
2020-05-14,-0.00019533333333333325,-0.002889115384615384,0.11225556456435348,0.09664460107180006
2020-05-15,-0.022986,-0.0157705,0.08668925815727735,0.0793499673905973
2020-05-18,0.0050915000000000005,0.011013692307692308,0.09222213651518518,0.09123759582375501
2020-05-19,0.0,0.015075038461538461,0.09222213651518518,0.10768804455147496
2020-05-20,0.0,-0.004353153846153846,0.09222213651518518,0.10286610807999708
2020-05-21,-0.087706,0.007716615384615385,-0.003572298190015699,0.11137650165677804
2020-05-22,0.0,-0.007874692307692307,-0.003572298190015699,0.10262475366823143
2020-05-25,0.0,0.009317923076923078,-0.003572298190015699,0.11289892630562326
2020-05-26,0.0,0.012681884615384616,-0.003572298190015699,0.12701258207761668
2020-05-27,0.0,-0.016292923076923076,-0.003572298190015699,0.10865025277110152
2020-05-28,0.0,0.0047623461538461535,-0.003572298190015699,0.11393002903834648
2020-05-29,0.0,0.003226038461538461,-0.003572298190015699,0.11752361015548707
2020-06-01,0.0,0.01765523076923077,-0.003572298190015699,0.13725374738284613
2020-06-02,0.0,-0.0034966153846153845,-0.003572298190015699,0.13327720843353563
2020-06-03,0.0,0.015232423076923077,-0.003572298190015699,0.15053976633582966
2020-06-04,0.0,0.003768769230769231,-0.003572298190015699,0.15487588520597262
2020-06-05,0.0,0.004976346153846154,-0.003572298190015699,0.160622947375487
2020-06-08,0.0,0.023071769230769233,-0.003572298190015699,0.18740057218126926
2020-06-09,0.0,-0.0034191923076923075,-0.003572298190015699,0.18334062127871764
2020-06-10,0.0,0.00016803846153846133,-0.003572298190015699,0.18353946801619347
2020-06-11,0.0,-0.045686346153846154,-0.003572298190015699,0.1294678741936668
2020-06-12,0.0,0.010644230769230769,-0.003572298190015699,0.14149019089301662
2020-06-15,0.0,-0.036021846153846154,-0.003572298190015699,0.1003716068505438
2020-06-16,0.02849675,0.025411115384615383,0.024822652921537847,0.12833327671817774
2020-06-17,0.013011000000000002,-0.00992746153846154,0.03815662045870005,0.11713179151099173
2020-06-18,-0.0065645,-0.0011508846153846148,0.03134164132369888,0.11584610171878462
2020-06-19,0.0,0.017153307692307693,0.03134164132369888,0.1349865532388288
2020-06-22,0.0,0.005624615384615385,0.03134164132369888,0.14137041606750755
2020-06-23,0.0,-0.0007461538461538462,0.03134164132369888,0.14051877814167257
2020-06-24,0.0,-0.011430153846153847,0.03134164132369888,0.1274824730430859
2020-06-25,0.0,-0.003653846153846154,0.03134164132369888,0.12336282554542843
2020-06-26,0.0,-0.0005528846153846152,0.03134164132369888,0.12274173552168932
2020-06-29,0.0,-0.028610615384615384,0.03134164132369888,0.09061940355042264
2020-06-30,0.0,-0.0057527692307692314,0.03134164132369888,0.08434532180319776
2020-07-01,0.0,0.01970196153846154,0.03134164132369888,0.105709051627775
2020-07-02,0.0,-0.0020714615384615385,0.03134164132369888,0.10341861785459927
2020-07-03,0.0,0.004306346153846154,0.03134164132369888,0.10817032037567964
2020-07-06,0.0,0.013196692307692307,0.03134164132369888,0.12279450311819429
2020-07-07,0.0,0.0032582307692307693,0.03134164132369888,0.12645282671577718
2020-07-08,0.0,0.0001646923076923077,0.03134164132369888,0.12663834483131553
2020-07-09,0.0,0.015819384615384617,0.03134164132369888,0.14446107013064258
2020-07-10,0.0,-0.007819846153846153,0.03134164132369888,0.13551156063315495
2020-07-13,0.0,-0.002241576923076923,0.03134164132369888,0.13296622412295256
2020-07-14,0.0,-0.001711153846153846,0.03134164132369888,0.1310275446109821
2020-07-15,0.0,0.0027542692307692307,0.03134164132369888,0.1341426989762564
