date,open,high,low,close,volume,ticker
2020-01-02,93752.34835379464,93752.34835379464,92107.5703125,92107.5703125,147200,SAB
2020-01-03,92107.58014247552,93341.16380509795,92107.58014247552,92354.296875,35180,SAB
2020-01-06,91696.38809763182,92313.17994582216,91490.7908149017,92025.34375,667700,SAB
2020-01-07,91531.89799804687,92477.6453717913,91531.89799804687,92107.5703125,407160,SAB
2020-01-08,92313.17006538418,92313.17006538418,91531.90047463037,91778.6171875,61220,SAB
2020-01-09,91285.18364537445,93711.2313188326,90873.98912444933,93341.15625,308060,SAB
2020-01-10,93341.14985947538,96425.10855527302,93341.14985947538,96013.9140625,347540,SAB
2020-01-13,96013.92062914174,96754.07076675395,96013.92062914174,96178.3984375,45180,SAB
2020-01-14,95397.12580472103,96178.39536950107,95397.12580472103,95808.3203125,18680,SAB
2020-01-15,95808.3288928953,96425.12070980234,95808.3288928953,96219.5234375,125080,SAB
2020-01-16,95808.32913630518,96589.598773039,95808.32913630518,95931.6875,118540,SAB
2020-01-17,95931.68375199893,96425.1171875,95808.32539312367,96425.1171875,25160,SAB
2020-01-20,95808.33040916314,97041.9140625,95808.33040916314,97041.9140625,74340,SAB
2020-01-21,97041.9038358369,97041.9038358369,95808.3203125,95808.3203125,369080,SAB
2020-01-22,95808.32382392473,97041.9073924731,95027.05423051075,95602.7265625,80620,SAB
2020-01-30,95150.42116542431,95150.42116542431,89640.4140625,89640.4140625,116280,SAB
2020-01-31,87173.2421875,92765.48791273586,83883.68587853774,87173.2421875,189460,SAB
2020-02-03,81087.56296373863,87173.24213140259,81087.56296373863,85898.5390625,367760,SAB
2020-02-04,85898.53195043103,85898.53195043103,82238.90086206897,83472.484375,334280,SAB
2020-02-05,83472.49311372422,83472.49311372422,79771.7421875,79771.7421875,2839740,SAB
2020-02-06,79771.7390625,81827.71171875,77839.124765625,78126.9609375,708400,SAB
2020-02-07,78949.35384615384,81827.71570512821,78538.1592948718,80182.9375,495900,SAB
2020-02-10,81827.71570512821,81827.71570512821,80182.9375,80182.9375,357140,SAB
2020-02-11,80182.93673485825,80182.93673485825,79771.7421875,79771.7421875,94600,SAB
2020-02-12,80553.00947316753,80553.00947316753,78538.15625,78538.15625,675540,SAB
2020-02-13,78867.11187827225,78867.11187827225,77304.57264397906,78538.15625,293540,SAB
2020-02-14,79319.42968338382,79360.54913889621,77756.89037391332,78044.7265625,721200,SAB
2020-02-17,78044.71884240591,78126.9577452957,76482.1796875,76482.1796875,410380,SAB
2020-02-18,75043.00836113062,75248.6056443118,73192.6328125,73192.6328125,751000,SAB
2020-02-19,72781.43824613764,74015.02194522473,71959.04911341293,73192.6328125,545920,SAB
2020-02-20,74015.015625,74220.612890625,73562.701640625,74015.015625,667740,SAB
2020-02-21,74015.01764950166,74672.92891749724,74015.01764950166,74261.734375,514760,SAB
2020-02-24,74097.26085849719,74097.26085849719,72822.55770277388,73192.6328125,1297640,SAB
2020-02-25,74015.02194522473,74015.02194522473,72534.72150632023,73192.6328125,32460,SAB
2020-02-26,73768.30444915254,73768.30444915254,72452.48185028248,72781.4375,497920,SAB
2020-02-27,72781.43777966224,72863.67669240762,71218.8984375,71218.8984375,154600,SAB
2020-02-28,70848.81108699847,70848.81108699847,66613.5078125,66613.5078125,243820,SAB
2020-03-02,66613.5140625,71136.65390625,66613.5140625,69903.0703125,520980,SAB
2020-03-03,70931.056640625,70931.056640625,69491.87578125,69903.0703125,676540,SAB
2020-03-04,69903.07738535503,70067.55521449704,69080.68823964497,69491.8828125,120620,SAB
2020-03-05,69491.8828125,69903.07738535503,69491.8828125,69491.8828125,248760,SAB
2020-03-06,69491.87139644833,69491.87139644833,66613.50985931735,66860.2265625,136340,SAB
2020-03-09,62912.764281833544,65379.93150857212,62213.73356759095,63858.51171875,515140,SAB
2020-03-10,63858.51171874999,65750.0065925829,62090.37520625402,63858.51171875,497240,SAB
2020-03-11,63899.62776007401,65791.12253289473,62501.56640624999,62501.56640625,661000,SAB
2020-03-12,61391.34480625432,65750.0069291364,58430.74411901366,59458.73046875,676800,SAB
2020-03-13,56744.84830729167,62912.7666015625,56744.84830729167,59212.015625,628700,SAB
2020-03-16,58389.6234375,61679.1796875,57156.03984375,61679.1796875,210660,SAB
2020-03-17,57978.43132640858,61679.18226213678,57978.43132640858,58019.55078125,50640,SAB
2020-03-18,58019.54916992187,59993.2829474954,55922.45703125,55922.45703125,98460,SAB
2020-03-19,53660.88793368603,56744.84701033465,52221.70703125,52221.70703125,81480,SAB
2020-03-20,52221.70625620039,53866.48440600198,49384.463947792654,51810.51171875,103880,SAB
2020-03-23,49754.54328204991,51604.91885865507,48192.00390625,48192.00390625,476460,SAB
2020-03-24,46053.791666666664,49261.109300595235,45848.19438244047,47492.97265625,49040,SAB
2020-03-25,47698.565625,50576.92734375,47657.446171875,49343.34375,275820,SAB
2020-03-26,49960.135546875,52057.22765625,49343.34375,51399.31640625,751940,SAB
2020-03-27,51399.31761188272,54401.03776041667,51399.31761188272,53290.8125,291140,SAB
2020-03-30,53290.80966143683,53455.28746903386,49590.05899050372,49795.65625,248420,SAB
2020-03-31,49795.65619601118,53002.973440675814,49795.65619601118,50576.92578125,169040,SAB
2020-04-01,50247.97179630381,52591.780628046305,49590.06054528838,50618.046875,439680,SAB
2020-04-03,53249.691796875,53414.169609375,51399.31640625,51399.31640625,135600,SAB
2020-04-06,53044.092240767044,54894.46755149148,52221.70321377841,54277.67578125,171400,SAB
2020-04-07,56744.842951642335,57156.03746578467,54277.67586678832,56333.6484375,315060,SAB
2020-04-08,56744.84765625,58595.223123301635,55922.45855978261,56744.84765625,173400,SAB
2020-04-09,57567.23046875,60692.30869419643,57567.23046875,57567.23046875,472620,SAB
2020-04-10,59294.24821032801,60404.47338486259,57567.231272163124,57978.42578125,382520,SAB
2020-04-13,58800.81479942376,59828.80107214096,57978.42578125,57978.42578125,80060,SAB
2020-04-14,59952.1558250523,59952.1558250523,58101.780645266736,58965.2890625,108680,SAB
2020-04-15,59006.41743259804,63077.243443627456,59006.41743259804,62912.765625,530060,SAB
2020-04-16,62912.75918563611,67106.94313134518,62912.75918563611,64804.25390625,316560,SAB
