date,close,high,low,open,volume,ticker
2023-07-17,37469.80078125,38018.808851304944,36920.792711195056,37561.30212625916,2239700,PLX
2023-07-19,36692.04296875,37378.30312402587,36692.04296875,37332.55244700748,1401500,PLX
2023-07-20,36326.03515625,36875.04324425378,36234.53380824937,36646.2898742522,2116600,PLX
2023-07-21,37058.046875,37241.04957561728,36280.285397376545,36326.036072530864,1741000,PLX
2023-07-24,36875.04296875,37424.05105265199,36875.04296875,37149.54701070099,1698000,PLX
2023-07-26,37058.046875,37241.04957561728,36783.54282407407,36875.04417438272,1219100,PLX
2023-07-28,36646.2890625,36783.54108146067,36417.53569756554,36692.03973548689,1595300,PLX
2023-08-03,36692.04296875,37607.05650911783,36692.04296875,37515.55515508105,2016300,PLX
2023-08-04,36875.04296875,37149.54701070099,36600.538926799,37149.54701070099,1482200,PLX
2023-08-07,37058.046875,37241.04957561728,36875.04417438272,37149.54822530864,1474800,PLX
2023-08-08,37424.05078125,37652.80414788356,37195.29741461644,37195.29741461644,2949000,PLX
2023-08-09,37241.05078125,37698.557547604425,37149.54942797912,37698.557547604425,1235700,PLX
2023-08-10,37332.55078125,38339.06563074449,37332.55078125,37424.052131204044,2426300,PLX
2023-08-11,37195.296875,37698.55427429274,36600.538130381305,37469.800910977865,1139900,PLX
2023-08-14,37103.79296875,37332.5463162762,36966.54096023428,37286.79564677096,2206600,PLX
2023-08-15,36920.79296875,37195.29700569238,36783.54095027881,37195.29700569238,1547800,PLX
2023-08-16,36829.2890625,37286.79575892857,36646.28638392857,36966.541071428575,1006000,PLX
2023-08-17,36371.78515625,36920.79323408019,36371.78515625,36783.541214622644,1615700,PLX
2023-08-18,34175.75390625,36509.03830948795,34175.75390625,36371.786285768074,2701800,PLX
2023-08-21,34313.00390625,34633.258609375,33992.749203125,34038.499875,877800,PLX
2023-08-22,34496.0078125,34816.26252693966,33855.49838362069,34770.511853448275,1252900,PLX
2023-08-23,34221.50390625,34862.0133376504,33763.997169535425,34862.0133376504,1209200,PLX
2023-08-24,34587.5078125,34587.5078125,34221.50243882275,34221.50243882275,583800,PLX
2023-08-25,34358.75390625,34679.00860311252,34358.75390625,34587.5072611518,933800,PLX
2023-08-28,34907.765625,35136.51900393185,34313.0068397772,34313.0068397772,936300,PLX
2023-08-29,34816.26171875,35045.01508089685,34770.51104632063,34999.264408467476,793000,PLX
2023-08-30,35136.515625,35639.773010253906,35045.01428222656,35045.01428222656,803900,PLX
2023-08-31,35273.7734375,35365.27479531452,35136.521400778205,35136.521400778205,729500,PLX
