date,close,high,low,open,volume,ticker
2020-01-02,2432.240966796875,2432.240966796875,2359.6367919199556,2359.6367919199556,13172204,SHB
2020-01-03,2359.63671875,2432.2408913755376,2359.63671875,2432.2408913755376,6895108,SHB
2020-01-06,2323.334716796875,2395.9388920586503,2323.334716796875,2359.6368044277624,5566358,SHB
2020-01-07,2323.334716796875,2395.9388920586503,2323.334716796875,2323.334716796875,21611185,SHB
2020-01-08,2323.334716796875,2395.9388920586503,2287.0326291659876,2323.334716796875,47414705,SHB
2020-01-09,2359.63671875,2432.2408913755376,2323.3346324372314,2359.63671875,11417360,SHB
2020-01-10,2577.44921875,2577.44921875,2395.9387884450725,2395.9387884450725,30201190,SHB
2020-01-13,2613.751220703125,2650.0533055959463,2541.1470509174824,2577.4491358103037,17105456,SHB
2020-01-14,2613.751220703125,2650.0533055959463,2577.4491358103037,2613.751220703125,10542216,SHB
2020-01-15,2686.35546875,2686.35546875,2577.4492108987847,2613.75129684919,15140482,SHB
2020-01-16,2722.65771484375,2795.2621126990657,2686.355626758101,2686.355626758101,15145402,SHB
2020-01-17,2650.053466796875,2795.262036885096,2650.053466796875,2722.65764099898,14015496,SHB
2020-01-20,2613.751220703125,2686.3553904887676,2613.751220703125,2650.0533055959463,14700642,SHB
2020-01-21,2686.35546875,2758.959862334815,2577.4492108987847,2577.4492108987847,10274275,SHB
2020-01-22,2795.261962890625,2795.261962890625,2686.3554827863622,2686.3554827863622,13997444,SHB
2020-01-30,2722.65771484375,2867.8662888703634,2686.355626758101,2758.9600246134173,22775085,SHB
2020-01-31,2722.65771484375,2867.8662888703634,2686.355626758101,2722.65771484375,47618761,SHB
2020-02-03,2867.8662109375,2867.8662109375,2650.053466658544,2650.053466658544,68530081,SHB
2020-02-04,2984.468505859375,2984.468505859375,2896.6900595136312,2940.579282686503,16320835,SHB
2020-02-05,3247.803955078125,3247.803955078125,2984.4684033976246,2984.4684033976246,27389958,SHB
2020-02-06,3335.58251953125,3423.3609660508064,3247.804073011694,3247.804073011694,18835903,SHB
2020-02-07,3116.136474609375,3379.471820199901,3116.136474609375,3335.582595934813,22531596,SHB
2020-02-10,2984.468505859375,3160.025620234878,2984.468505859375,3116.1363970620064,27629989,SHB
2020-02-11,3160.025634765625,3160.025634765625,2984.468519582858,3028.3577429575453,19681926,SHB
2020-02-12,3203.914794921875,3247.804017430557,3160.025572413193,3160.025572413193,20811712,SHB
2020-02-13,3160.025634765625,3203.914858140313,3072.2469663322327,3203.914858140313,24389104,SHB
2020-02-14,3203.914794921875,3247.804017430557,3160.025572413193,3160.025572413193,11568130,SHB
2020-02-17,3247.803955078125,3291.693176744207,3160.025511745961,3203.914733412043,14110632,SHB
2020-02-18,3203.914794921875,3247.804017430557,3160.025572413193,3203.914794921875,9165302,SHB
2020-02-19,3072.2470703125,3203.9149665768828,3072.2470703125,3203.9149665768828,14216869,SHB
2020-02-20,3028.357666015625,3160.0255544783995,3028.357666015625,3072.2468882752128,19705083,SHB
2020-02-21,3028.357666015625,3116.1363322188117,2984.4684437560372,3072.2468882752128,9146513,SHB
2020-02-24,3116.136474609375,3160.0256988744627,2940.5793558650025,3028.357804395178,45967773,SHB
2020-02-25,3203.914794921875,3247.804017430557,3028.357683203134,3072.246905711816,29036438,SHB
2020-02-26,3511.139404296875,3511.139404296875,3160.0256190459986,3203.914842202358,66437546,SHB
2020-02-27,3862.25341796875,3862.25341796875,3511.1394104214046,3511.1394104214046,37618707,SHB
2020-02-28,4213.3671875,4213.3671875,3774.4749568720963,3862.2534029976773,70874931,SHB
2020-03-02,4608.3701171875,4608.3701171875,3993.921034249968,4169.477915089263,113014796,SHB
2020-03-03,4959.484375,5047.262816353556,4520.591724864209,4608.3701662177655,90230233,SHB
2020-03-04,5266.708984375,5266.708984375,4740.037908590302,4871.7057883784755,103501238,SHB
2020-03-05,5661.71240234375,5793.380297604971,5178.930710876669,5222.820157086425,135698024,SHB
2020-03-06,5442.2666015625,5705.601953563509,5266.7097002284945,5661.71250654598,46026718,SHB
2020-03-09,4915.59521484375,5310.598445295912,4915.59521484375,4959.484659724227,9105178,SHB
2020-03-10,4432.8134765625,4915.595146716515,4432.8134765625,4432.8134765625,30369545,SHB
2020-03-11,4871.7060546875,4871.7060546875,4169.478063043676,4213.367063126906,61605396,SHB
2020-03-12,4915.59521484375,5047.263106117148,4740.038322057908,4871.706213331306,35110123,SHB
2020-03-13,4827.81640625,4959.484287645181,4432.813205432455,4696.148524854819,59755690,SHB
2020-03-16,4827.81640625,4827.81640625,4608.370085047364,4783.926964662273,17985365,SHB
2020-03-17,4959.484375,4959.484375,4564.481167224991,4696.148607571323,25243615,SHB
2020-03-18,5222.81982421875,5266.709267631285,4827.816606978003,4827.816606978003,17289689,SHB
2020-03-19,5178.93017578125,5222.819617456277,5047.262737492168,5222.819617456277,10317217,SHB
2020-03-20,5266.708984375,5266.708984375,5003.3732247986545,5135.041104586828,12438201,SHB
2020-03-23,5178.93017578125,5266.709059131305,5091.151735799195,5091.151735799195,28446641,SHB
2020-03-24,5222.81982421875,5266.709267631285,5091.151937349161,5135.041380761697,29767352,SHB
2020-03-25,5573.93408203125,5573.93408203125,5222.820277715852,5222.820277715852,12635820,SHB
2020-03-26,5486.1552734375,5617.8231631594335,5398.376828078886,5573.933718796114,10766133,SHB
