date,close,high,low,open,volume,ticker
2020-01-02,27046.81640625,27219.823377628698,26470.12457001842,26527.793560477985,1496500,BID
2020-01-03,26931.478515625,27392.83044084832,26931.478515625,27306.327920686912,1035726,BID
2020-01-06,26412.455078125,26931.4779140435,26412.455078125,26931.4779140435,1362510,BID
2020-01-07,26931.478515625,26931.478515625,26066.44172419535,26412.455668112838,903589,BID
2020-01-08,27162.154296875,27623.506219017872,26412.455491756915,26527.793472292633,2110812,BID
2020-01-09,28632.716796875,28776.890240128552,27450.499584449302,27537.00403672862,2697943,BID
2020-01-10,29584.2578125,29987.94074614162,28603.883042020145,28632.7165714623,2583418,BID
2020-01-13,28892.228515625,29699.596329103148,28546.21456626406,28776.890532504687,934201,BID
2020-01-14,28892.228515625,29699.596329103148,28776.890532504687,28892.228515625,1461481,BID
2020-01-15,29411.25,29584.256966614,28776.889190779453,28776.889190779453,1192387,BID
2020-01-16,31141.322265625,31198.993187369,29411.250630746414,29411.250630746414,1721947,BID
2020-01-17,30852.9765625,31487.33736985118,30622.300607694433,31198.99242634422,1103553,BID
2020-01-20,30737.638671875,31256.661503288684,30679.969683010797,30852.976649603403,1306192,BID
2020-01-21,31141.322265625,31429.669147801356,30737.639334868374,30737.639334868374,1148329,BID
2020-01-22,32006.359375,32179.368278722995,31025.984601537384,31141.32258292876,1391492,BID
2020-01-30,30391.625,31660.344697556888,29987.940142843796,31429.668740116707,2381570,BID
2020-01-31,29699.595703125,30910.646431998935,29699.595703125,30160.947625882338,1980030,BID
2020-02-03,30852.9765625,31718.013324656746,27623.505468678588,28719.220117276767,2679714,BID
2020-02-04,31372.0,31545.006969454636,30910.6461498184,31372.0,3098042,BID
2020-02-05,30852.9765625,31833.35130205953,30852.9765625,31660.344335955353,1232551,BID
2020-02-06,30679.970703125,31198.993551796284,30564.63272156159,30795.30868468841,2520858,BID
2020-02-07,29814.93359375,30737.63936811331,29757.264603579537,30391.625427090534,2574381,BID
2020-02-10,28315.53515625,29526.587777611232,28315.53515625,29353.578880534016,1906477,BID
2020-02-11,29295.91015625,29641.926021889016,28315.53541160522,28315.53541160522,1572747,BID
2020-02-12,29295.91015625,29872.601977891114,29238.241167249475,29699.59501088954,1208267,BID
2020-02-13,29065.234375,29411.25024271941,28776.889428263734,29238.241343041762,992646,BID
2020-02-14,28834.55859375,29180.572531947186,28834.55859375,28892.22758344953,1075341,BID
2020-02-17,29699.595703125,29699.595703125,28892.227906663735,28949.896897008402,1481254,BID
2020-02-18,29987.939453125,30333.955312962837,29699.594512956668,29930.270465091333,1508179,BID
2020-02-19,29584.2578125,30045.60973666185,29526.58882197977,29987.94074614162,638389,BID
2020-02-20,29584.2578125,29987.94074614162,29526.58882197977,29930.271755621387,948041,BID
2020-02-21,28546.212890625,29584.256609411466,28113.69451349432,29584.256609411466,4491492,BID
2020-02-24,26700.80078125,28142.52941947716,26700.80078125,27796.515473487892,1854220,BID
2020-02-25,28142.529296875,28142.529296875,25951.10378521798,25951.10378521798,1506773,BID
2020-02-26,27104.484375,27854.183154350216,27017.979926753495,27450.49830471432,1074158,BID
2020-02-27,27162.154296875,27508.168238482154,26787.30489431596,27104.48530660714,1239360,BID
