date,close,high,low,open,volume,ticker
2023-07-17,44270.5625,44270.5625,43475.00270877378,43989.77669133193,977000,BVH
2023-07-19,43896.18359375,44176.9694163113,43755.79068246935,44036.57650503065,789800,BVH
2023-07-20,43802.58984375,43989.78039863782,43568.60165014022,43708.994566306086,574500,BVH
2023-07-21,44457.75390625,44925.73026315789,43849.38464226974,43942.97991365132,1428700,BVH
2023-07-24,44223.765625,44785.33725198413,44083.372718253966,44644.944345238095,870800,BVH
2023-07-26,43662.1953125,44130.171682408894,43615.397675509106,43896.18349745445,844800,BVH
2023-07-28,43662.1953125,43849.38586046355,43381.40949055466,43428.20712754555,666900,BVH
2023-08-03,44270.5625,44925.72938689218,44176.967230443974,44785.336482558145,861800,BVH
2023-08-04,44083.375,44504.55374203822,44036.577361995754,44457.75610403397,1064100,BVH
2023-08-07,44925.734375,44925.734375,44130.174495442705,44223.769775390625,1313900,BVH
2023-08-08,44504.55078125,45159.71766972266,44457.75314635909,45112.92003483175,991500,BVH
2023-08-09,44364.1640625,44691.74755241298,44270.56877966772,44691.74755241298,674700,BVH
2023-08-10,43989.77734375,44832.13478224734,43989.77734375,44644.944240359044,620000,BVH
2023-08-11,43708.99609375,44130.174856966005,43475.00789196333,44036.57957625134,1076900,BVH
2023-08-14,43896.18359375,44176.9694163113,43662.19540828225,43942.98123084355,2607700,BVH
2023-08-15,44176.96875,44925.73093220339,43802.58765889831,43896.18293167373,829900,BVH
2023-08-16,43896.18359375,44176.9694163113,43802.5883195629,44036.57650503065,530200,BVH
2023-08-17,43521.8046875,43896.1858030914,43521.8046875,43849.38816364248,676700,BVH
2023-08-18,41369.109375,43802.586397058825,41369.109375,43521.80058682127,1903200,BVH
2023-08-21,41743.4921875,42164.67092033352,41135.12290674047,41369.11109164798,1025700,BVH
2023-08-22,42492.25390625,42539.05154271062,41556.30117703744,41790.28935934058,943900,BVH
2023-08-23,42585.8515625,42679.44684065934,42071.077532623625,42585.8515625,455600,BVH
2023-08-24,42492.25390625,42585.84917917125,42164.6704510256,42164.6704510256,361100,BVH
2023-08-25,42024.27734375,42585.848978633076,41977.479707509745,42585.848978633076,540700,BVH
2023-08-28,42024.27734375,42211.46788871102,41790.28916254872,42024.27734375,591700,BVH
2023-08-29,41930.68359375,42539.05288696289,41930.68359375,42071.07650756836,1913740,BVH
2023-08-30,42164.671875,42305.06478912319,41977.48132283574,42117.87423695893,453400,BVH
2023-08-31,42305.06640625,42492.25696556969,42164.673486760235,42211.47112659016,1098600,BVH
2023-09-05,42539.0546875,42960.23344678218,42398.66176773927,42398.66176773927,731700,BVH
2023-09-06,42726.2421875,42819.83746063801,42445.45636808598,42773.039824069005,580800,BVH
2023-09-07,42819.83984375,43053.82803961749,42585.85164788251,42866.6374829235,1010400,BVH
2023-09-08,42726.2421875,43053.825643483025,42632.646914362,42819.83746063801,437900,BVH
2023-09-11,42585.8515625,43428.20906593406,42585.8515625,42773.04211881868,921000,BVH
2023-09-12,42866.63671875,42866.63671875,42492.255612036024,42585.850888714514,456805,BVH
2023-09-13,42632.6484375,43100.62481990944,42585.85079925905,43007.029543427554,805400,BVH
2023-09-14,42305.06640625,42679.44752488938,41977.48292744054,42632.64988505946,670400,BVH
2023-09-15,42024.27734375,42585.848978633076,42024.27734375,42305.06316119154,600500,BVH
2023-09-18,41930.68359375,42305.064697265625,41649.89776611328,42024.278869628906,541800,BVH
2023-09-19,41228.71875,42024.27858967083,40947.93292423382,41977.48095204313,1740500,BVH
2023-09-20,41743.4921875,41930.68273542601,41135.12290674047,41322.31345466648,349700,BVH
2023-09-21,41509.50390625,41930.68263810597,41509.50390625,41743.49209061443,300600,BVH
2023-09-22,40807.5390625,41275.51542789564,40245.96742402523,41181.920154816515,920900,BVH
2023-09-25,39497.20703125,41181.922023104264,39497.20703125,40901.13619112856,748800,BVH
2023-09-26,39310.015625,40105.57546502976,39029.22979910715,39310.015625,1153500,BVH
2023-09-27,39684.39453125,39684.39453125,39216.41818064564,39310.013450766506,461500,BVH
2023-09-28,39684.39453125,39824.78743643131,39450.406355947816,39590.79926112913,481200,BVH
2023-09-29,39450.41015625,39918.38655193505,39450.41015625,39777.99363322954,231800,BVH
2023-10-02,39544.00390625,39824.789732803256,39403.61099297337,39824.789732803256,223300,BVH
2023-10-03,39169.625,39637.60140382318,39122.82735961768,39356.81556152927,647900,BVH
2023-10-04,39356.8125,39684.39595719382,38842.038495838286,38935.63376932224,428300,BVH
2023-10-05,39216.421875,39777.99354862768,39216.421875,39777.99354862768,214800,BVH
2023-10-06,39216.421875,39450.410072344865,38842.04075924821,39216.421875,245100,BVH
2023-10-09,39497.20703125,39590.802308575236,39169.623560611675,39310.01647659953,222600,BVH
2023-10-10,39824.79296875,40011.9835349956,39544.00711938161,39731.1976856272,258600,BVH
2023-10-11,39871.58984375,39965.18512507335,39684.39928110329,39684.39928110329,121500,BVH
2023-10-12,39918.3828125,40058.77571805393,39824.78754213072,39965.180447684645,239800,BVH
2023-10-13,39590.8046875,39871.59053634752,39310.01883865248,39871.59053634752,210400,BVH
2023-10-16,38982.43359375,39590.80290553722,38654.85011817227,39590.80290553722,331200,BVH
2023-10-17,38888.8359375,39356.8123025722,38888.8359375,39076.026483528876,173600,BVH
