date,close,high,low,open,volume,ticker
2020-01-02,15234.7451171875,15446.928471645644,15192.30882945912,15234.7451171875,62935,CMG
2020-01-03,15192.30859375,15446.928231986094,15192.30859375,15446.928231986094,30046,CMG
2020-01-06,15277.181640625,15913.730755912526,15149.871817567495,15234.745352241878,26555,CMG
2020-01-07,15277.181640625,15489.364998356887,15192.309063858755,15489.364998356887,19064,CMG
2020-01-08,15192.30859375,15277.18116788996,14852.81542346584,15277.18116788996,18810,CMG
2020-01-09,14852.8154296875,15277.181174289382,14852.8154296875,15064.998780942495,96797,CMG
2020-01-10,14852.8154296875,15107.43506803025,14852.8154296875,15107.43506803025,20243,CMG
2020-01-13,14789.16015625,14852.815064269611,14640.63171823488,14852.815064269611,23270,CMG
2020-01-14,14683.068359375,14852.815423471195,14258.702614950726,14640.632072305005,70377,CMG
2020-01-15,14767.9423828125,14810.378671294522,14216.266800913647,14216.266800913647,17796,CMG
2020-01-16,14683.068359375,14767.941891423097,14470.885966116915,14725.505604353102,41183,CMG
2020-01-17,14640.6318359375,14683.068122322376,14470.885732489898,14683.068122322376,43404,CMG
2020-01-20,14640.6318359375,14640.6318359375,14301.138671134206,14640.6318359375,73939,CMG
2020-01-21,14258.7021484375,14640.631593295891,14258.7021484375,14428.448249071871,68854,CMG
2020-01-22,14598.1962890625,14598.1962890625,14258.70310706129,14258.70310706129,41670,CMG
2020-01-30,14173.8291015625,14598.19580445356,14004.08299515094,14598.19580445356,66312,CMG
2020-01-31,13579.716796875,14173.828628437968,13579.716796875,14173.828628437968,46986,CMG
2020-02-03,12688.5478515625,13155.350852406611,12646.111563452356,12646.111563452356,62888,CMG
2020-02-04,13091.6953125,13155.35022056197,12752.202150200133,13155.35022056197,10050,CMG
2020-02-05,12752.2021484375,12943.166872597014,12603.674668252157,12603.674668252157,159161,CMG
2020-02-06,13155.3505859375,13579.717290075678,12752.202504378665,12752.202504378665,115658,CMG
2020-02-07,13240.2236328125,13579.716792091815,13155.350103515653,13579.716792091815,40075,CMG
2020-02-10,13028.041015625,13240.224371755126,12858.294905465778,13155.35083772145,42918,CMG
2020-02-11,12985.6044921875,13028.040779481082,12730.98485260979,13028.040779481082,97309,CMG
2020-02-12,12900.73046875,12985.60399801538,12561.23730959656,12985.60399801538,173746,CMG
2020-02-13,12730.984375,12858.294190012759,12306.61768635209,12306.61768635209,190667,CMG
2020-02-14,13494.84375,13494.84375,12646.111300113922,12730.984832474962,323872,CMG
2020-02-17,13367.5341796875,13558.49891262983,13155.3508237822,13494.844001649053,63236,CMG
2020-02-18,13452.4072265625,13494.843513043825,13367.533695691754,13409.96998217308,32358,CMG
2020-02-19,13622.1533203125,14343.57593740959,13452.407216604754,13452.407216604754,91204,CMG
2020-02-20,14004.0830078125,14216.266359449874,13749.463369010897,14216.266359449874,46038,CMG
2020-02-21,14004.0830078125,14173.829114377533,13579.717262445865,13791.899656175128,33371,CMG
2020-02-24,13028.041015625,13664.590126107247,13028.041015625,13028.041015625,1439517,CMG
2020-02-25,13028.041015625,13282.660659817899,12730.985083369329,13028.041015625,46201,CMG
2020-02-26,12730.984375,12943.16676141588,12646.110845688803,12943.16676141588,110504,CMG
2020-02-27,13028.041015625,13112.914549658677,12730.985083369329,13112.914549658677,26160,CMG
2020-02-28,12900.73046875,12921.949090543365,12646.11083886194,12730.984368127318,54383,CMG
2020-03-02,12900.73046875,13070.476569372682,12730.984368127318,12900.73046875,44674,CMG
2020-03-03,13197.787109375,13346.31555427223,12985.604711416816,13155.35082136499,55953,CMG
2020-03-04,13155.3505859375,13282.660405597331,12900.730946617838,12900.730946617838,16359,CMG
2020-03-05,13112.9140625,13197.78663547244,12943.167000738931,13155.35034898622,38664,CMG
2020-03-06,13070.4765625,13155.350091720751,12943.16674762291,13112.913806064413,25327,CMG
2020-03-09,12158.0908203125,12730.98501674859,12158.0908203125,12730.98501674859,170094,CMG
2020-03-10,12433.927734375,12730.984613576959,11797.378647382367,11797.378647382367,42040,CMG
2020-03-11,11563.9775390625,12476.364875502004,11563.9775390625,12476.364875502004,191154,CMG
2020-03-12,10757.681640625,11563.977801010946,10757.681640625,11563.977801010946,137778,CMG
2020-03-13,10099.9140625,10524.280771104846,10015.041487105529,10015.041487105529,300136,CMG
2020-03-16,10078.6962890625,10609.154190151707,9760.421739990597,9760.421739990597,150793,CMG
2020-03-17,9887.7314453125,9972.604018811766,9399.709837105269,9399.709837105269,74006,CMG
2020-03-18,9845.2939453125,10524.280263145403,9845.2939453125,10524.280263145403,166326,CMG
2020-03-19,9845.2939453125,9887.731188869604,9590.67431560218,9760.421374014444,57203,CMG
2020-03-20,9802.8583984375,10184.787871786379,9760.422109590341,9845.294687284659,18531,CMG
2020-03-23,9123.873046875,9675.548637120317,9123.873046875,9505.802522715947,86374,CMG
2020-03-24,9123.873046875,9293.61916127937,9038.999510718737,9293.61916127937,90095,CMG
2020-03-25,9717.984375,9717.984375,9505.801983507441,9696.766710595604,135217,CMG
2020-03-26,9845.2939453125,10184.787104228952,9208.744871036699,9633.111559159282,86719,CMG
2020-03-27,9845.2939453125,9930.167474518632,9399.70959331944,9399.70959331944,121691,CMG
2020-03-30,9760.421875,9760.421875,9166.309055878446,9293.618877268198,255548,CMG
2020-03-31,9548.23828125,9845.294204427462,9081.43529519276,9760.421630895673,163830,CMG
2020-04-01,9675.5478515625,9760.42138082788,9336.05469240906,9336.05469240906,31337,CMG
2020-04-03,10184.787109375,10184.787109375,9675.547849697057,9675.547849697057,60000,CMG
2020-04-06,10821.3369140625,10863.774160504187,10609.154513486628,10778.900625528953,89840,CMG
2020-04-07,11415.44921875,11457.885505334407,10609.154026197713,11457.885505334407,95202,CMG
2020-04-08,10927.4287109375,11033.519907717475,10651.590449819832,11033.519907717475,66336,CMG
2020-04-09,11245.703125,11245.703125,10821.336427127491,11033.519776063746,514838,CMG
2020-04-10,11245.703125,11373.012942780133,11033.519776063746,11033.519776063746,48769,CMG
2020-04-13,11245.703125,11373.012942780133,11118.393307219867,11288.139411624012,68320,CMG
2020-04-14,11415.44921875,11457.885505334407,11097.174674596718,11457.885505334407,123702,CMG
2020-04-15,11754.9423828125,11861.03357820647,11627.632565176498,11712.506096236531,80156,CMG
2020-04-16,12200.52734375,12200.52734375,11754.94296013975,11818.59787208407,109140,CMG
2020-04-17,12518.8017578125,12858.294936868182,12306.618401164184,12561.238045978911,113258,CMG
2020-04-20,12603.6748046875,12921.949348398693,12518.801273728484,12773.420908697439,133600,CMG
2020-04-21,11733.7236328125,12646.110968572386,11733.7236328125,12603.674682458468,153774,CMG
2020-04-22,11882.251953125,11882.251953125,11457.88526456592,11733.723516338514,152850,CMG
2020-04-23,12179.30859375,12688.54788400635,11924.688948621824,12688.54788400635,62079,CMG
