date,close,high,low,open,volume,ticker
2020-01-02,4108.41064453125,4108.41064453125,3887.6903607207837,3892.706575839253,6093100,HSG
2020-01-03,4003.067138671875,4118.443728563295,3993.034253376427,4113.427513202176,7481779,HSG
2020-01-06,4023.132080078125,4088.3451465664493,3957.9194681629674,4013.09965029005,8828482,HSG
2020-01-07,3977.984619140625,4073.2958802299677,3972.9684044523456,4023.131915054583,4285963,HSG
2020-01-08,3947.886962890625,3988.018049615944,3887.6905600892514,3937.8540775659926,6763992,HSG
2020-01-09,4058.247314453125,4138.50903286996,3993.034242077065,3993.034242077065,8944806,HSG
2020-01-10,4058.247314453125,4138.50903286996,4058.247314453125,4088.345515681089,6741164,HSG
2020-01-13,3983.001708984375,4133.492711255228,3972.9688239752527,4083.3291953560088,7918110,HSG
2020-01-14,4063.263427734375,4073.296312749415,3932.8377408316423,3983.0017113336453,6646887,HSG
2020-01-15,4238.83642578125,4263.918411094004,4098.378308090858,4108.410738557402,16902930,HSG
2020-01-16,4273.951171875,4314.082256294017,4238.836302543416,4263.9182871269495,8601788,HSG
2020-01-17,4233.81982421875,4324.114417617594,4163.590544495264,4273.9509061426215,8234254,HSG
2020-01-20,4163.5908203125,4223.787219899443,4123.459735730144,4213.754789683742,9381080,HSG
2020-01-21,4289.00048828125,4309.065804217354,4178.640114199663,4188.672999454318,7436237,HSG
2020-01-22,4504.7041015625,4559.884282907688,4263.918062316752,4289.000045577867,16533002,HSG
2020-01-30,4344.1806640625,4454.541037858048,4289.000477164726,4414.409951516648,15419249,HSG
2020-01-31,4088.34521484375,4374.278560042459,4088.34521484375,4344.1803610292445,15943306,HSG
2020-02-03,4128.4765625,4163.590978737427,3822.477428667779,3912.772486057111,16749357,HSG
2020-02-04,3988.017578125,4163.590550395962,3977.9846939865242,4128.476137771032,11961570,HSG
2020-02-05,4028.14892578125,4053.2304559219497,3998.050725953861,4013.0998258675554,5641200,HSG
2020-02-06,4143.525390625,4173.623589585425,4018.1159252411153,4053.2303391705527,8217905,HSG
2020-02-07,4073.29638671875,4183.656760168697,4053.2306163242847,4143.5256739529705,7965916,HSG
2020-02-10,4023.132080078125,4098.378030927692,3972.9685674182474,4013.09965029005,6749776,HSG
2020-02-11,3932.837646484375,4088.3453149075394,3932.837646484375,4088.3453149075394,12850245,HSG
2020-02-12,3952.903076171875,4018.116147237865,3937.853975860215,3937.853975860215,9729367,HSG
2020-02-13,3952.903076171875,3957.919745991227,3867.6246895480713,3957.919745991227,9748057,HSG
2020-02-14,4043.197998046875,4043.197998046875,3937.8538447981873,3952.902944608974,7298367,HSG
